rollout/ep_rew_mean,time/fps,eval/mean_reward,time/total_timesteps,train/n_updates,eval/std_reward,eval/mean_ep_length,train/learning_rate,rollout/ep_len_mean,time/iterations,train/critic_loss,train/actor_loss,training/completed
2.23502503646822,97.67369940850449,9.376776332314936,19600,19500,5.319214596501121,4,0.0001,500.0,196,0.00016803009202703834,-0.0073837521485984325,
1.5230895632488846,11.051546987184324,6.80931982206873,20000,19900,5.537390313804919,4,0.0001,500.0,200,0.00014549064508173615,-0.01188616268336773,
0.8111540900295491,81.57351966170253,4.620788992083207,20400,20300,1.2196386421901553,4,0.0001,500.0,204,0.00012510122905950993,-0.014352474361658096,
2.1996778260759746,86.9184923615083,3.9182301846144734,20800,20700,5.585428473966926,4,0.0001,500.0,208,0.00015408176113851368,-0.014042169786989689,
2.3110896739943803,101.75538361958958,2.248658710152836,21200,21100,3.032287109095413,4,0.0001,500.0,212,0.0001713522942736745,-0.011659115552902222,
4.132970847977938,83.3948343885508,2.9328946651896404,21600,21500,3.3279488513828603,4,0.0001,500.0,216,0.00012329239689279348,-0.01142437569797039,
3.814207449139971,11.077900653857784,5.0643143866673945,22000,21900,3.1919205692654473,4,0.0001,500.0,220,0.00016985568800009787,-0.016722112894058228,
3.4954440503020052,88.3615389298748,8.492406645968579,22400,22300,4.557576148620441,4,0.0001,500.0,224,0.00015974094276316464,-0.006128100678324699,
4.33979863511375,89.94529903679297,6.436290017273576,22800,22700,3.5714634541134886,4,0.0001,500.0,228,0.00012737496581394225,-0.017402904108166695,
5.117413810505744,101.8265791322596,6.020293226882827,23200,23100,5.521443438603386,4,0.0001,500.0,232,0.0001782688486855477,-0.013867218047380447,
6.388495846612197,127.20882693695825,5.3985341914709215,23600,23500,5.7457521178694435,4,0.0001,500.0,236,0.00017189433856401592,-0.019884143024683,
6.074625290661278,10.96984155612532,4.541580977158017,24000,23900,4.151114736276174,4,0.0001,500.0,240,0.0005926210433244705,-0.012256823480129242,
5.76075473471036,121.19449700127485,8.513734794297275,24400,24300,4.388284013280935,4,0.0001,500.0,244,0.00015119227464310825,-0.011163150891661644,
7.023399048677042,139.20191377142805,4.854092106190167,24800,24700,2.0808410421547285,4,0.0001,500.0,248,0.00016881286865100265,-0.01158999279141426,
4.662204638471375,124.93157409224905,3.1160843302043797,25200,25100,3.029502842037722,4,0.0001,500.0,252,0.0001952117745531723,-0.008581999689340591,
5.285109666102869,106.85280907749961,4.011186639671552,25600,25500,2.8768980514661675,4,0.0001,500.0,256,0.0002659291494637728,-0.015498721040785313,
4.7957034913910945,9.293381307694027,5.408716698735637,26000,25900,3.0159530782649853,4,0.0001,500.0,260,0.00016370820230804384,-0.01006156112998724,
4.306297316679318,86.4318435190089,6.384378219690258,26400,26300,6.578785738820021,4,0.0001,500.0,264,0.00014950762852095068,-0.013666308484971523,
